"codigo_centro_poblado","nombre_municipio","longitud","latitud"
15047000,"AQUITANIA",-72.8839848091,5.51860354302
15051000,"ARCABUCO",-73.4381847561,5.75518426904
15087000,"BELEN",-72.9116195663,5.98927786058
15090000,"BERBEO",-73.1270321462,5.22728723002
15092000,"BETEITIVA",-72.8090312025,5.90990781839
15097000,"BOAVITA",-72.5849593987,6.33065256287
15104000,"BOYACA",-73.3623027174,5.45423716391
15106000,"BRICENO",-73.9232596955,5.69087889724
15109000,"BUENAVISTA",-73.9423052248,5.51243115138
15114000,"BUSBANZA",-72.8841617543,5.8313895322
15131000,"CALDAS",-73.8655410006,5.55457507858
15135000,"CAMPOHERMOSO",-73.1041679174,5.0316606812
15162000,"CERINZA",-72.948275851,5.95602818885
15172000,"CHINAVITA",-73.3684764814,5.16748382122
15176000,"CHIQUINQUIRA",-73.8183876347,5.61412789039
15180000,"CHISCAS",-72.5018350718,6.55405042828
15183000,"CHITA",-72.4718923521,6.18708299638
15185000,"CHITARAQUE",-73.4471004029,6.02742513316
15187000,"CHIVATA",-73.2825294417,5.55894884501
15189000,"CIENEGA",-73.2960612914,5.40870219185
15204000,"COMBITA",-73.323956415,5.63454531392
15212000,"COPER",-74.0454607199,5.47498301805
15215000,"CORRALES",-72.8447948409,5.82810220795
15218000,"COVARACHIA",-72.7389779335,6.50017746022
15223000,"CUBARA",-72.1106877551,7.00009287529
15224000,"CUCAITA",-73.4543376458,5.54445155869
15226000,"CUITIVA",-72.9659232314,5.58036723016
15232000,"CHIQUIZA",-73.4494626143,5.63983430511
15236000,"CHIVOR",-73.3668937555,4.8877816607
15238000,"DUITAMA",-73.0306096702,5.82298567975
15244000,"EL COCUY",-72.4447293162,6.40771623162
15248000,"EL ESPINO",-72.4970073546,6.48302740589
15272000,"FIRAVITOBA",-72.9933614508,5.66892215993
15276000,"FLORESTA",-72.9181113126,5.85951912431
15293000,"GACHANTIVA",-73.5490923938,5.75189108211
15296000,"GAMEZA",-72.805529354,5.80233780495
15299000,"GARAGOA",-73.3644275636,5.08324346272
15317000,"GUACAMAYAS",-72.5008119968,6.4596665157
15322000,"GUATEQUE",-73.4712069731,5.00732089514
15325000,"GUAYATA",-73.4896964004,4.96712253068
15332000,"GUICAN DE LA SIERRA",-72.4117626054,6.46286375486
15362000,"IZA",-72.9801762321,5.61169613977
15367000,"JENESANO",-73.3637375578,5.38581284499
15368000,"JERICO",-72.5707234868,6.14592038332
15377000,"LABRANZAGRANDE",-72.5777701202,5.56268704797
15380000,"LA CAPILLA",-73.4443474018,5.09568699246
15401000,"LA VICTORIA",-74.2343932245,5.52379224002
15403000,"LA UVITA",-72.5599847038,6.3162064057
15407000,"VILLA DE LEYVA",-73.5246845965,5.63266184936
15425000,"MACANAL",-73.3196422421,4.97246606306
15442000,"MARIPI",-74.0040499461,5.55009070992
15455000,"MIRAFLORES",-73.1456304805,5.19651511498
15464000,"MONGUA",-72.7980904867,5.7542422283
15466000,"MONGUI",-72.8492600099,5.72340407154
15469000,"MONIQUIRA",-73.5733703874,5.8763348107
15476000,"MOTAVITA",-73.3678410519,5.57769959996
15480000,"MUZO",-74.1027507754,5.53246286737
15491000,"NOBSA",-72.9398531722,5.77104262442
15494000,"NUEVO COLON",-73.457136184,5.35514586429
15500000,"OICATA",-73.3084039802,5.59523423857
15507000,"OTANCHE",-74.1809647364,5.6575357131
15511000,"PACHAVITA",-73.3969530625,5.1400647313
15514000,"PAEZ",-73.0543103782,5.09523463077
15516000,"PAIPA",-73.1179168833,5.77994187022
15518000,"PAJARITO",-72.7032099199,5.29366520638
15522000,"PANQUEBA",-72.459200274,6.4430754152
15531000,"PAUNA",-73.9784487242,5.65632269134
15533000,"PAYA",-72.4237754102,5.62569870723
15537000,"PAZ DE RIO",-72.7491373831,5.98764490579
15542000,"PESCA",-73.0508722377,5.55880760918
15550000,"PISBA",-72.4859468239,5.72161511225
15572000,"PUERTO BOYACA",-74.5879991859,5.97793495174
15580000,"QUIPAMA",-74.1777293867,5.51837038479
15599000,"RAMIRIQUI",-73.3348689631,5.40022164431
15600000,"RAQUIRA",-73.6324971571,5.53906582743
15621000,"RONDON",-73.2084739746,5.35740011572
15632000,"SABOYA",-73.7646606203,5.69773343185
15638000,"SACHICA",-73.5426344665,5.5835924967
15646000,"SAMACA",-73.4856435912,5.49231459065
15660000,"SAN EDUARDO",-73.0771429986,5.22395593971
15664000,"SAN JOSE DE PARE",-73.5453724498,6.01897577141
15667000,"SAN LUIS DE GACENO",-73.1683594198,4.81969044706
15673000,"SAN MATEO",-72.555264211,6.40168331763
15676000,"SAN MIGUEL DE SEMA",-73.7220048421,5.51808638788
15681000,"SAN PABLO DE BORBUR",-74.0699644758,5.6506763959
15686000,"SANTANA",-73.4812263191,6.05741310683
15690000,"SANTA MARIA",-73.2635176558,4.85719299476
15693000,"SANTA ROSA DE VITERBO",-72.9824609238,5.87455559736
15696000,"SANTA SOFIA",-73.6027071719,5.71326942075
15720000,"SATIVANORTE",-72.7084581556,6.13113611074
15723000,"SATIVASUR",-72.7124380793,6.09318234349
15740000,"SIACHOQUE",-73.2446490051,5.51181505462
15753000,"SOATA",-72.6840249822,6.33191193659
15755000,"SOCOTA",-72.6366533804,6.04116183315
15757000,"SOCHA",-72.6919658568,5.99671302142
15759000,"SOGAMOSO",-72.9230476859,5.72568939005
15761000,"SOMONDOCO",-73.433392983,4.98572550723
15762000,"SORA",-73.4501527774,5.56683979702
15763000,"SOTAQUIRA",-73.2473344815,5.76523077368
15764000,"SORACA",-73.332805627,5.50090483119
15774000,"SUSACON",-72.6902892468,6.23033207437
15776000,"SUTAMARCHAN",-73.6205860962,5.61978141908
15778000,"SUTATENZA",-73.4523171398,5.02298899355
15790000,"TASCO",-72.7810111577,5.90982103112
15798000,"TENZA",-73.4205891075,5.0770743509
15804000,"TIBANA",-73.3964572213,5.31725092439
15806000,"TIBASOSA",-72.9994492099,5.74722997688
15808000,"TINJACA",-73.6468473359,5.57971330972
15810000,"TIPACOQUE",-72.6931726756,6.41858580299
15814000,"TOCA",-73.1847903357,5.56646915043
15816000,"TOGUI",-73.5136550618,5.93743822459
15820000,"TOPAGA",-72.832244934,5.76820144934
15822000,"TOTA",-72.9858981444,5.56049737415
15832000,"TUNUNGUA",-73.9331547966,5.7305822083
15835000,"TURMEQUE",-73.4918470184,5.3232527677
15837000,"TUTA",-73.2259729425,5.69096824399
15839000,"TUTAZA",-72.8560354807,6.03260790273
15842000,"UMBITA",-73.4569165722,5.22117620092
15861000,"VENTAQUEMADA",-73.5223732489,5.36873397919
15879000,"VIRACACHA",-73.2968996511,5.43678853466
15897000,"ZETAQUIRA",-73.1690520056,5.28211605241
17001000,"MANIZALES",-75.4910489848,5.05768819705
17013000,"AGUADAS",-75.4548696699,5.61024445592
17042000,"ANSERMA",-75.7843426615,5.23647439108
17050000,"ARANZAZU",-75.4912546148,5.27114176848
17088000,"BELALCAZAR",-75.8119182955,4.99379389997
17174000,"CHINCHINA",-75.6074807289,4.98581286197
17272000,"FILADELFIA",-75.5624740599,5.29709070967
17380000,"LA DORADA",-74.6582056212,5.44440609816
17388000,"LA MERCED",-75.5479078855,5.39477940954
17433000,"MANZANARES",-75.1528288516,5.25572025339
17442000,"MARMATO",-75.6002416244,5.47400482007
17444000,"MARQUETALIA",-75.0530970305,5.29752456061
17446000,"MARULANDA",-75.2594025313,5.28433046388
17486000,"NEIRA",-75.5198420752,5.16670570261
17495000,"NORCASIA",-74.8895440794,5.57479539319
17513000,"PACORA",-75.4596212622,5.52717173309
17524000,"PALESTINA",-75.6215025571,5.02057116803
17541000,"PENSILVANIA",-75.1602985189,5.38328059422
17614000,"RIOSUCIO",-75.7020697129,5.42368091314
17616000,"RISARALDA",-75.7672195365,5.16450895652
17653000,"SALAMINA",-75.4872224433,5.40302451457
17662000,"SAMANA",-74.9922577601,5.41308630139
17665000,"SAN JOSE",-75.7920044375,5.08156947455
17777000,"SUPIA",-75.6496603124,5.44684298212
17867000,"VICTORIA",-74.9111530426,5.31742020018
17873000,"VILLAMARIA",-75.5137606023,5.04380668643
17877000,"VITERBO",-75.8706098599,5.06266423587
18001000,"FLORENCIA",-75.6085604324,1.6179229304
18029000,"ALBANIA",-75.878370537,1.32852208792
18094000,"BELEN DE LOS ANDAQUIES",-75.8724739494,1.41578644559
18150000,"CARTAGENA DEL CHAIRA",-74.8471983686,1.33513495491
18205000,"CURILLO",-75.9192043462,1.03347374762
18247000,"EL DONCELLO",-75.2835628711,1.67987247593
18256000,"EL PAUJIL",-75.3261234569,1.5703732827
